,NRHR_areas,RHR_areas,NRLR_areas,RLR_areas,NRHR_GHG,RHR_GHG,NRLR_GHG,RLR_GHG
199,581721.0,391397.0,156244.0,312268.0,1.737472044,0.940061932,0.45310358,0.735575842
200,295991.0,294390.0,196679.0,406834.0,0.886149216,0.706952823,0.569816581,0.957326382
201,223345.0,384498.0,80059.0,309942.0,0.669795078,0.923149545,0.232274438,0.729918701
202,86460.0,539042.0,86579.0,176647.0,0.258911472,1.292500798,0.250874659,0.416354328
203,665338.0,478873.0,315709.0,233027.0,1.994682798,1.148955479,0.91424309,0.548074924
204,513448.0,516079.0,217239.0,190402.0,1.536520752,1.238408471,0.628555626,0.447930356
205,749716.0,453709.0,216870.0,260547.0,2.245535043,1.088754104,0.628406022,0.612770057
206,280636.0,460724.0,121317.0,246449.0,0.841157718,1.10554408,0.351700281,0.579870289
207,237569.0,453160.0,144304.0,243743.0,0.713161506,1.087883747,0.417930746,0.572868167
208,144458.0,452263.0,123988.0,247990.0,0.434720232,1.085660801,0.359105099,0.582954746
209,258570.0,457058.0,138899.0,246470.0,0.773320974,1.097626594,0.402046669,0.578727851
210,675716.0,543708.0,109681.0,150728.0,2.019228087,1.304621181,0.317435093,0.354193159
211,584570.0,511449.0,268014.0,195068.0,1.750806267,1.226607276,0.775592292,0.45850524
212,924224.0,490180.0,296831.0,208899.0,2.768793342,1.175866577,0.859433998,0.490811595
213,1188333.0,495462.0,407489.0,183070.0,3.558344862,1.188622149,1.178622115,0.430503332
214,664189.0,513800.0,221239.0,165668.0,1.990156656,1.231780921,0.640018361,0.389603014
215,657512.0,466446.0,234718.0,225604.0,1.963622916,1.119069534,0.678689183,0.529542317
216,553384.0,547122.0,136642.0,140255.0,1.654424613,1.311997386,0.395757725,0.329872113
217,1215640.0,482905.0,369071.0,192578.0,3.63882606,1.158734522,1.067982574,0.452372462
218,1785110.0,467411.0,205065.0,169567.0,5.332975911,1.121818915,0.593686167,0.397562535
219,1580242.0,482849.0,170649.0,184062.0,4.722758175,1.159012402,0.493675347,0.432170881
220,314338.0,573098.0,59610.0,102512.0,0.941212791,1.375411873,0.172316241,0.240800439
221,1335279.0,518058.0,247373.0,179951.0,3.997617972,1.243214409,0.715640674,0.423200202
222,631783.0,542873.0,26415.0,118195.0,1.893230511,1.302136708,0.076426875,0.277293819
223,455121.0,515512.0,101126.0,175824.0,1.364756802,1.236674738,0.292746301,0.412755081
224,1291313.0,591500.0,243388.0,95174.0,3.867513723,1.417563448,0.703304351,0.223182842
225,1210355.0,595958.0,233275.0,112604.0,3.61650852,1.429071973,0.674373527,0.263989092
226,1623674.0,616366.0,74515.0,40981.0,4.857062253,1.477448801,0.215573033,0.096325104
227,370195.0,614568.0,65496.0,73134.0,1.108356291,1.473633402,0.189329895,0.1715072
228,2406088.0,531058.0,458930.0,117229.0,7.189300554,1.274479073,1.326633655,0.275378816
229,991242.0,458433.0,42735.0,113731.0,2.959820178,1.100144724,0.123570771,0.266466122
230,561744.0,547294.0,146443.0,152580.0,1.681917585,1.312188824,0.423622139,0.357725118
231,1625393.0,610200.0,210815.0,74248.0,4.865824005,1.462426986,0.609725017,0.173887208
232,3727898.0,540744.0,220552.0,91093.0,11.13732,1.296623718,0.637319387,0.213544934
233,2809284.0,520877.0,253239.0,65972.0,8.393464992,1.24969897,0.731472717,0.154758188
234,2946974.0,521305.0,257800.0,115027.0,8.80990671,1.250633057,0.745140761,0.270148617
235,2938567.0,490396.0,679478.0,112624.0,8.780558916,1.176063446,1.964329321,0.264035917
236,1790620.0,508443.0,169689.0,79248.0,5.354084346,1.219938693,0.490354215,0.186099719
237,1002255.0,601906.0,179201.0,110754.0,2.9963001,1.442682641,0.518287585,0.259819709
238,2203447.0,587807.0,209643.0,77300.0,6.58482948,1.408657147,0.605580057,0.181063899
239,1891170.0,505692.0,119528.0,69985.0,5.661811062,1.212765405,0.345959602,0.163748992
